BWV,BC,Title,Key,Date,Genre,Scoring,Notes
1079,—,"Musikalisches Opfer (""Musical Offering"")",,1747,"Fugues
Canons
Sonatas","For flute, harpsichord, 2 violins",
1080,—,"Die Kunst der Fuge (""The Art of the Fugue"")",D minor,1748–49,"Fugues
Canons",For keyboard,incomplete
