BWV,BC,Title,Key,Date,Genre,Scoring,Notes
225,C1,Singet dem Herrn ein neues Lied,B♭ major,1727,Motets,For 2 mixed choruses,
226,C2,Der Geist hilft unser Schwachheit auf,B♭ major,1729,Motets,"For 2 mixed choruses, orchestra",
227,C5,"Jesu, meine Freude",E minor,1723?,Motets,For mixed chorus,
228,C4,"Fürchte dich nicht, ich bin bei dir",A major,1726,Motets,For 2 mixed choruses,A major
229,C3,"Komm, Jesu, komm",G minor,1723–24?,Motets,For 2 mixed choruses,
230,C6,"Lobet den Herrn, alle Heiden (Psalm 117)",C major,?,Motets,"For mixed chorus, continuo",
231,C7,Sei Lob und Preis mit Ehren,C major,—,Motets,2 mixed choruses,based partly on BWV 28 and music by Georg Philipp Telemann; spurious; probably composed by Johann Gottlob Harrer
