BWV,BC,Title,Key,Date,Genre,Scoring,Notes
592,J88,Organ Concerto,G major,1713–14,Concertos,For organ,arrangement of a lost violin concerto by Prince Johann Ernst of Saxe-Weimar; arranged for harpsichord as BWV 592a
592a,J92,Harpsichord Concerto,G major,1713–14,Concertos,For harpsichord,arrangement of BWV 592
593,J86,Organ Concerto,A minor,1713–14,Concertos,For organ,"arrangement of the Concerto for 2 Violins in A minor, RV 522, by Antonio Vivaldi"
594,J84,Organ Concerto,C major,1713–14,Concertos,For organ,"arrangement of the Violin Concerto in D major, RV 208, by Antonio Vivaldi"
595,J87,Organ Concerto,C major,1713–14,Concertos,For organ,"arrangement of No.4 of the 6 Violiin Concertos, Op.1, by Prince Johann Ernst of Saxe-Weimar; see also BWV 987"
596,J85,Organ Concerto,D minor,1713–14,Concertos,For organ,"arrangement of the Concerto for 2 Violins and Cello in D minor, RV 565, by Antonio Vivaldi"
597,—,Organ Concerto,E♭ major,—,Concertos,For organ,arrangement of a concerto by an unidentified composer; Bach's authorship uncertain
