BWV,BC,Title,Key,Date,Genre,Scoring,Notes
825,L01,Partita No.1,B♭ major,1726,Partitas,For keyboard,No.1 in Clavier-Übung I
826,L02,Partita No.2,C minor,1727,Partitas,For keyboard,No.2 in Clavier-Übung I
827,L03,Partita No.3,A minor,1725–27,Partitas,For keyboard,No.3 in Clavier-Übung I
828,L04,Partita No.4,D major,1728,Partitas,For keyboard,No.4 in Clavier-Übung I
829,L05,Partita No.5,G major,1730,Partitas,For keyboard,No.5 in Clavier-Übung I
830,L06,Partita No.6,E minor,1725–30,Partitas,For keyboard,No.6 in Clavier-Übung I
