BWV,BC,Title,Key,Date,Genre,Scoring,Notes
988,L009,Goldberg-Variationen (Goldberg Variations),G major,1741–42,Variations,For keyboard,published in Clavier-Übung IV
989,L179,"Aria variata (""alla maniera italiana"")",A minor,1714?,Variations,For keyboard,
990,—,Sarabande con partite,C major,?,"Sarabandes
Partitas",For keyboard,
991,—,Air with Variations,C minor,1722,Variations,For keyboard,incomplete
992,L181,"Capriccio (""sopra la lotananza delsuo fratello dilettissimo"")",B♭ major,1704?,Capriccios,For keyboard,
993,L180,"Capriccio (""in honorem Johann Christoph Bachii"")",E major,1721?,Capriccios,For keyboard,
994,Q1,Applicatio,C major,1720–21,Pieces,For keyboard
