BWV,BC,Title,Key,Date,Genre,Scoring,Notes
812,L019,French Suite No.1,D minor,1722–25?,Suites,For keyboard,
813,L020,French Suite No.2,C minor,1722–25?,Suites,For keyboard,see also BWV 813a
813a,L020,French Suite No.2,C minor,1722–25?,Suites,For keyboard,alternative version of BWV 813
814,L021,French Suite No.3,B minor,1722–25?,Suites,For keyboard,see also BWV 814a
814a,L021,French Suite No.3,B minor,1722–25?,Suites,For keyboard,alternative version of BWV 814
815,L022,French Suite No.4,E♭ major,1722–25?,Suites,For keyboard,see also BWV 815a
815a,L022,French Suite No.4,E♭ major,1722–25?,Suites,For keyboard,alternative version of BWV 815
816,L023,French Suite No.5,G major,1722–25?,Suites,For keyboard,
817,L024,French Suite No.6,E major,1722–25?,Suites,For keyboard,
