BWV,BC,Title,Key,Date,Genre,Scoring,Notes
Anh.074,—,"Schmücke dich, o liebe Seele (III)",,—,Chorale preludes,For organ,spurious; composed by Gottfried August Homilius; see also BWV 759
Anh.075,—,"Herr Christ, der einge Gottessohn (III)",,?,Chorale preludes,For organ,Bach's authorship uncertain
Anh.076,—,"Jesu, meine Freude (VI)",,?,Chorale preludes,For organ,Bach's authorship uncertain
Anh.077,—,"Herr Christ, der einge Gottessohn",,1718?,"Chorales
Variations",For organ,Bach's authorship uncertain
Anh.078,—,Wenn wir in höchsten Nöten sein,,?,"Chorales
Variations",For organ,Bach's authorship uncertain
Anh.079,—,Befiehl du deine Wege,,?,"Chorales
Variations",For organ,Bach's authorship uncertain
Anh.080,—,Suite,F major,?,Suites,For keyboard,Bach's authorship uncertain
Anh.081,—,Gigue,,?,Gigues,For keyboard,incomplete; Bach's authorship uncertain
Anh.082,—,Chaconne,B♭ major,—,Chaconnes,For keyboard,spurious; composed by Johann Bernhard Bach
Anh.083,—,Chaconne,A major,—,Chaconnes,For keyboard,spurious; composed by Johann Bernhard Bach
Anh.084,—,Chaconne,G major,—,Chaconnes,For keyboard,spurious; composed by Johann Bernhard Bach
Anh.085,—,Toccata and Fugue,F minor,?,"Toccatas
Fugues",For keyboard,Bach's authorship uncertain
Anh.086,—,Fantasia,C minor,?,Fantasias,For keyboard,Bach's authorship uncertain
Anh.087,—,Fantasia,C major,?,Fantasias,For keyboard,Bach's authorship uncertain
Anh.088,—,Fugue,C major,—,Fugues,For keyboard,spurious; composed by Johann Christoph Kellner
Anh.089,—,Fugue,C major,?,Fugues,For keyboard,Bach's authorship uncertain
Anh.090,—,Fugue,C major,?,Fugues,For keyboard,spurious; composed by Johann Philipp Kirnberger; formerly attributed to Carl Philipp Emanuel Bach as H.388
Anh.091,—,Fugue,G major,?,Fugues,For keyboard,Bach's authorship uncertain
Anh.092,—,Fugue,G major,?,Fugues,For keyboard,Bach's authorship uncertain
Anh.093,—,Fugue,E minor,?,Fugues,For keyboard,Bach's authorship uncertain
Anh.094,—,Fugue,E minor,?,Fugues,For keyboard,spurious; composed by Johann Philipp Kirnberger
Anh.095,—,Fugue,E minor,?,Fugues,For keyboard,Bach's authorship uncertain
Anh.096,—,Fugue,D major,?,Fugues,For keyboard,Bach's authorship uncertain
Anh.097,—,Fugue,F♯ major,—,Fugues,For keyboard,spurious; composed by Johann Ludwig Krebs
Anh.098,—,Fugue,D minor,?,Fugues,For keyboard,spurious; composed by Carl Philipp Emanuel Bach (H.373.5)
Anh.099,—,Fugue,D minor,?,Fugues,For keyboard,spurious; composed by Carl Philipp Emanuel Bach (H.373.5)
Anh.100,—,Fugue,D minor,?,Fugues,For keyboard,spurious; composed by Carl Philipp Emanuel Bach (H.373.5)
Anh.101,—,Fugue,G minor,?,Fugues,For keyboard,Bach's authorship uncertain
Anh.102,—,Fugue,G♭ major,?,Fugues,For keyboard,Bach's authorship uncertain
Anh.103,—,Fugue,A minor,—,Fugues,For keyboard,spurious; composed by George Frideric Handel
Anh.104,—,Fugue,C minor,—,Fugues,For keyboard,spurious; composed by George Frideric Handel
Anh.105,—,Fugue,B♭ major,—,Fugues,For keyboard,spurious; composed by George Frideric Handel
Anh.106,—,Fugue,G minor,—,Fugues,For keyboard,spurious; composed by George Frideric Handel
Anh.107,—,"Fugue (on the theme ""B-A-C-H"")",C major,—,Fugues,For keyboard,spurious; composed by Georg Andreas Sorge
Anh.108,—,"Fugue (on the theme ""B-A-C-H"")",C major,—,Fugues,For keyboard,spurious; composed by Georg Andreas Sorge or Carl Philipp Emanuel Bach
Anh.109,—,"Fugue (on the theme ""B-A-C-H"")",G minor,?,Fugues,For keyboard,Bach's authorship uncertain
Anh.110,—,"Fugue (on the theme ""B-A-C-H"")",C minor,—,Fugues,For keyboard,spurious; probably composed by Georg Andreas Sorge
Anh.111,—,Largo and Allegro,G major,?,"Largos
Allegros",For keyboard,Bach's authorship uncertain
Anh.112,—,Prelude (Grave),E minor,—,Preludes,For keyboard,spurious; composed by Johann Philipp Kirnberger
Anh.112a,—,Notebook II for Anna Magdalena Bach (20):,,1725,Pieces,For keyboard,20 doubtful or spurious piees
Anh.113,—,Minuet,F major,1725,Minuets,For keyboard,Bach's authorship uncertain
Anh.114,—,Minuet,G major,—,Minuets,For keyboard,spurious; composed by Christian Pezold
Anh.115,—,Minuet,G minor,—,Minuets,For keyboard,spurious; composed by Christian Pezold
Anh.116,—,Minuet,G major,1725,Minuets,For keyboard,Bach's authorship uncertain
Anh.117,—,Polonaise,F major,1725,Polonaises,For keyboard,Bach's authorship uncertain; see also BWV Anh.117a
Anh.117a,—,Polonaise,F major,1725,Polonaises,For keyboard,alternate version of BWV Anh.117; Bach's authorship uncertain
Anh.118,—,Minuet,B♭ major,1725,Minuets,For keyboard,Bach's authorship uncertain
Anh.119,—,Polonaise,G minor,1725,Polonaises,For keyboard,Bach's authorship uncertain; possibly composed by Carl Philipp Emanuel Bach
Anh.120,—,Minuet,A minor,1725,Minuets,For keyboard,Bach's authorship uncertain
Anh.121,—,Minuet,C minor,1725,Minuets,For keyboard,Bach's authorship uncertain
Anh.122,—,March,D major,—,Marches,For keyboard,spurious; composed by Carl Philipp Emanuel Bach (H.1/1)
Anh.123,—,Polonaise,G minor,—,Polonaises,For keyboard,spurious; composed by Carl Philipp Emanuel Bach (H.1/2)
Anh.124,—,March,G major,—,Marches,For keyboard,spurious; composed by Carl Philipp Emanuel Bach (H.1/3)
Anh.125,—,Polonaise,G minor,—,Polonaises,For keyboard,spurious; composed by Carl Philipp Emanuel Bach (H.1/4)
Anh.126,—,Musette,D major,1725,Pieces,For keyboard,Bach's authorship uncertain
Anh.127,—,March,E♭ major,1725,Marches,For keyboard,spurious
Anh.128,—,Polonaise,D minor,1725,Polonaises,For keyboard,Bach's authorship uncertain
Anh.129,—,Harpsichord Sonata,E♭ major,—,Sonatas,For harpsichord,"spurious; composed by Carl Philipp Emanuel Bach (Wq.65/7, H.16)"
Anh.130,—,Polonaise,G major,—,Polonaises,For keyboard,spurious; composed by Johann Adolph Hasse
