BWV,BC,Title,Key,Date,Genre,Scoring,Notes
806,L013,English Suite No.1,A major,1720–22?,Suites,For keyboard,
807,L014,English Suite No.2,A minor,1720–22?,Suites,For keyboard,
808,L015,English Suite No.3,G minor,1720–22?,Suites,For keyboard,
809,L016,English Suite No.4,F major,1720–22?,Suites,For keyboard,
810,L017,English Suite No.5,E minor,1720–22?,Suites,For keyboard,
811,L018,English Suite No.6,D minor,1720–22?,Suites,For keyboard,
